,0,1,2
0,1179543777108738048,MaximeBernier,It’s official.  @AndrewScheer has admitted he supports the Liberal plan to increase immigration target from about 250k annually in recent years to 350k.   The PPC will reduce it to 150k.  You now have a clear choice. It’s LibCons against PPC.   https://t.co/wmeBlClXpi
1,1179543777108738048,berraco_eh,@MaximeBernier PPC who? Enjoyed watching the debate on TV? LOL
2,1179543777108738048,JohnGra16387272,@berraco_eh @MaximeBernier TV is the worst thing to ever happen to humanity. TV = Idiot Box
3,1214695735851126784,dewright_ca,"@CNN Where is #Omar's resignation, Immigration Fraud, Campaign  Fraud, etc..."
4,1236426400585773057,AkonFenty,"@mrctv @rolandsmartin Trump isn't perfect, but when I voted for Trump I didn't vote for him as my moral leader, I have my pastor at Church for that. I voted for Trump on tax reform, trade deals that benefit Americans, immigration, keeping America safe, defend 1st &amp; 2nd amendment, religious liberty."
5,1269774888161751040,Robert02409989,"@realDonaldTrump Mr. President, Please Endorse Mindy Robinson of District 3 Nevada! She will do an Awesome Job! She Stands for everything You stand for &amp; Supports You! She'll fight for the 2nd Amendment, Voter Id &amp; is against Illegal immigration! Please Endorse her! @iheartmindy"
6,1313990468741607426,thereidout,"""I've often said that when you look at immigration in particular, cruelty has been the point of this administration.""  @SergRGonzales on the Trump Administration's child separation policy. #TheReidOut  https://t.co/7yfNqHqMoC"
7,1179506851785973760,Valgb1961,"@RebeccaBuck That was before 22 of his fellow El Pasoans were slaughtered, or have you forgotten. The stench from your bias coverage of the 2020 election cycle is nauseating. You need to be fired."
8,1179506851785973760,Valgb1961,"@RebeccaBuck Also, you're Twitter banner is shocking.  https://t.co/EyVkZm3Glk"
9,1179506851785973760,DonnaJanuario,@Valgb1961 @RebeccaBuck Sandy Hook didn’t get to him? Parkland and all the horrific shootings before El Paso?  That tells me all I need to know. He’s a candidate that only reacts to tragedy when it hits close to home.  Does he have a day job yet? Most Americans need one to survive.
10,1214697052719874048,Kimberly__SRB,@Cernovich Wrong.. Trump allowing Iran to kill American citizens and not responding with force would cost him the election..
11,1236441200355356673,Teesa_Michele,"To Whom It May Concern:  There are better ways to win an election than spreading lies about an opponent. Until I hear from a doctor who examined Biden &amp; (s)he says there is a cognitive impairment, I going to keep believing they are horrible lies. Want to compare policies, do it."
