Tweet ID,Conversation ID,Depth,Username,Tweet,Date,Personal Attack?
1,100001,1,TheMarkPantano,"Enjoy the Trump Presidency while it lasts.  Due to his abject failure on immigration, he will be the last Republican President of your lifetime.  Hope you like Socialism!  ____  P.S.  Your mindless cheerleading and excuses won't matter once Democrats have complete control.",1/1/20 18:42,neg
2,100001,2,TheMarkPantano,"@Etherkat By the way, I see that you pretend to be a second amendment supporter.  Yet you cheer the guy who unconstitutionally banned bump stocks by executive order and supports red flag laws and banning private party sales.  Gun control is coming in the second term... Enjoy!",1/2/20 12:34,neg
3,100001,3,Etherkat,"@TheMarkPantano I am not a cultist. I am an American Patriot with devotion to only one, Jesus Christ. I've supported and RTd you many times over the years, but your continued negativity and tearing down our President, calling him a fraud, has become old and tiresome. #UnitedWeStand #UnitedWeWin",1/2/20 12:38,neg
4,100002,1,AmandaPerram,The audit to assess whether the Department of Home Affairs has appropriately managed the procurement of garrison support and welfare services for offshore immigration processing centres is due to be tabled April 2020  #Manus #Nauru #Paladin #PIH #NKW #JDA #Canstruct #IHMS #auspol,1/16/20 18:56,neg
5,100002,2,HenriMcAlister,@AmandaPerram It’d be quite handy if we had an organisation to investigate and lay charges for the mishandling of govt money.  One that could track it down and confiscate any ill gotten gains.  🙄,1/16/20 21:33,neg
6,100002,3,WildlyManifest,@HenriMcAlister @AmandaPerram 😂🤣🤣🤣😂😂🤣 Not likely under this #LibShit government. @PeterDutton_MP will conduct an internal investigation and either exonerate themselves or bury the report. SOP.,1/17/20 13:53,neg
7,100003,1,petertimmins3,"Met #brexit lady again today. She's peed off. Had to apply for residency, register for tax, matriculate cars, join healthcare system, swap driving licence etc, all at a cost. Not what she voted for, she just wanted to stop EU immigration to UK, not stop her living in Portugal.",1/21/20 18:48,neg
8,100003,2,catmack,@petertimmins3 These Brits living in EU countries think of themselves as expats (that’s what our media calls them) whereas they regard everyone from the EU who moves to the UK as immigrants.,1/22/20 1:04,neg
9,100003,3,nhearn007,"@catmack @petertimmins3 Not all of us. I am a temporary immigrant in an EU country, and a guest, even though I currently have a right to live here.",1/22/20 2:14,neg
10,100004,1,uk_domain_names,"""The government has announced it will launch a “global talent visa” on 20 February to encourage scientists, researchers and mathematicians to come to the UK, with no limit on how many people can be accepted.""  Brexit meant unlimited immigration. Who knew?  https://t.co/i135EIrB67",1/26/20 18:34,neg
11,100004,2,KTC055,"@uk_domain_names Scientists can get a job anywhere in the world, I know this as I am one. Why the hell would any scientist want to come to the UK.",1/27/20 7:04,neg
12,100004,3,uk_domain_names,@KLC055 For the weather? 😉,1/27/20 7:11,neg
13,100004,4,nancy_rosoe,@uk_domain_names With these people in charge we need to raise the iq of England,1/27/20 7:20,neg
14,100005,1,One_Two_Sree,"Making legal immigration fair will help people value the American Immigration laws. It will help people start believing in being here legally, working hard, paying taxes, going through the vetting process.  #S386 #PassS386 #YesS386 #S386IsFair  https://t.co/tPI4M2w7V8",2/1/20 18:44,neg
15,100005,2,LImmigrant2001,@One_Two_Sree @AlbSumit This guy when he was the president did nothing in his 8 years . Created a revenue stream in form of h4ead to people who should have got GC,2/3/20 18:23,neg
16,100005,3,Evry1isEqual,@LImmigrant2001 @One_Two_Sree @AlbSumit And retrogressed EAD dates just two days prior filing. And those applicants are still waiting for an EAD. What an Immigration can't even change a job (without paper work) after 10 years of wait &amp; 15 yrs of stay in the country.,2/3/20 23:24,neg
17,100006,1,RuralConserv,"The onslaught continues, remorselessly. It isn't the migrants who are sinking these days - it is our nation and continent. Britain will die if mass immigration is allowed to continue. A key reason why we voted for Brexit was to protect our borders. @Conservatives #StopTheInvasion",2/6/20 18:56,neg
18,100006,2,RuralConserv,"@Conservatives Can any minister explain why, when migrants are picked up in the English Channel, they are given what they illegally want &amp; brought to our shores? Why are they not taken immediately back to France? What message are we sending to countless thousands more hopefuls? #StopTheInvasion",2/6/20 19:00,neg
19,100006,3,bairdyblues,"@RuralConserv @Conservatives Dunno, is it perhaps because of compassion for the misfortunes of others?",2/7/20 0:30,neg
20,100007,1,jennyjenli,"Klobuchar is as dumb as Sarah Palin &amp; Meghan McCain, only she has a blue D next to her name so we're supposed to pretend she isn't a fking moron..  She's on the committee for Border security/immigration &amp; doesn't know a fking thing about Mexico. Does she show up to meetings? WTF.",2/16/20 18:48,pos
21,100007,2,EatYourBoss,"@jennyjenli and he called me...SNOW WOMAN.   and *I* tweeted back...  trailing off into a mix of gurgling and vocal fry, growing louder as her eyes roll back, her foaming mouth opening to a geometrically impossible angle, teeth falling from their sockets as a torrent of beetles spill forth.",2/18/20 4:31,neg
22,100007,3,EatYourBoss,"@jennyjenli Amy Jean Machine, you now know how to lock in my vote.",2/18/20 4:31,neg
23,100008,1,fox8news,"Greyhound, the nation’s largest bus company, said Friday it will stop allowing Border Patrol agents without a warrant to board its buses to conduct routine immigration checks.  https://t.co/RLKQAtG7p1",2/21/20 18:54,neg
24,100008,2,MikeGar90827524,"@fox8news The same people who want ""law and order"" and searching buses would never put up with sobriety check points every five miles.  After all sobriety check points take drunks and criminals off the road too.",2/21/20 21:55,neg
25,100008,3,sksanford_karen,@MikeGar90827524 @fox8news I have no problem with either.,2/22/20 8:02,neg
26,100008,4,MikeGar90827524,"@sksanford_karen @fox8news Yeah, right. A delay on your way to work or home.  No problem with it you say?  What about the next step, door-to-door and entering homes?",2/22/20 8:46,neg
